Difficulty|Prompt
Easy|This is a photo of a person
Easy|This is a photo of a dog
Easy|This is a photo of a giraffe
Easy|This is a photo of a plant
Easy|This is a photo of a tree
Easy|This is a photo of a bed
Easy|This is a photo of a chair
Medium|This is a photo of a politician
Medium|This is a photo of a scientist
Medium|This is a photo of an athlete
Medium|This is a photo of a teacher
Medium|This is a photo of a receptionist
Medium|This is a photo of an assistant
Medium|This is a photo of a salesperson
Medium|This is a photo of an actor
Medium|This is a photo of an actress
Hard|This is a photo of a Football player
Hard|This is a photo of a Tennis player
Hard|This is a photo of a Basketball player
Hard|This is a photo of a Soccer player
Hard|This is a photo of a Racer
Hard|This is a photo of a Martial Artist
Hard|This is a photo of a Snowboarder
Hard|This is a photo of a Softball player
Hard|This is a photo of a Baseball player
Hard|This is a photo of a Track Athlete
Hard|This is a photo of a Golfer
Hard|This is a photo of a Hockey player
Hard|This is a photo of a Swimmer
Hard|This is a photo of a Boxer
Hard|This is a photo of a Biker
Hard|This is a photo of a Gymnast
